filename,classes,xmin,ymin,xmax,ymax
J01_2018.06.26 09_36_07.jpg,吊经,772,748,956,1808
J01_2018.06.26 13_21_42.jpg,吊经,714,846,780,953
J01_2018.06.26 13_24_39.jpg,吊经,238,12,360,1504
J01_2018.06.26 13_29_21.jpg,吊经,608,724,694,1846
J01_2018.06.26 13_30_58.jpg,吊经,282,1390,356,1884
J01_2018.06.26 13_31_22.jpg,吊经,1732,730,1808,1916
J01_2018.06.26 13_31_40.jpg,吊经,1290,386,1346,1898
J01_2018.06.26 13_53_34.jpg,吊经,1666,20,1734,1078
J01_2018.06.26 13_57_55.jpg,吊经,2138,12,2236,500
J01_2018.06.26 14_09_44.jpg,吊经,2336,68,2404,1002
J01_2018.06.26 15_34_43.jpg,吊经,433,114,533,1829
J01_2018.06.26 15_52_33.jpg,吊经,2096,10,2158,1498
J01_2018.06.26 15_55_51.jpg,吊经,1742,12,1798,1304
J01_2018.06.27 08_45_26.jpg,吊经,444,386,509,1550
J01_2018.06.27 08_51_18.jpg,吊经,1154,20,1236,1632
J01_2018.06.27 09_04_19.jpg,吊经,1234,4,1351,1920
J01_2018.06.27 09_22_45.jpg,吊经,1722,8,1780,1911
J01_2018.06.27 09_23_11.jpg,吊经,1328,5,1375,1553
J01_2018.06.27 09_28_41.jpg,吊经,1332,246,1470,574
J01_2018.06.27 09_29_05.jpg,吊经,1352,1042,1444,1696
J01_2018.06.27 09_31_16.jpg,吊经,718,310,794,1186
J01_2018.06.27 09_44_54.jpg,吊经,1118,8,1190,1498
J01_2018.06.27 09_45_40.jpg,吊经,1443,1475,1495,1775
J01_2018.06.27 09_47_38.jpg,吊经,2352,756,2396,1486
J01_2018.06.27 09_49_59.jpg,吊经,1430,9,1497,1634
J01_2018.06.27 09_54_49.jpg,吊经,1906,380,1954,688
J01_2018.06.27 09_59_46.jpg,吊经,1766,2,1836,1916
J01_2018.06.27 13_37_56.jpg,吊经,1267,194,1371,647
J01_2018.06.27 13_52_29.jpg,吊经,1348,542,1428,1652
J01_2018.06.27 13_54_44.jpg,吊经,1384,564,1450,1554
J01_2018.06.27 14_13_50.jpg,吊经,1276,675,1340,1077
J01_2018.06.27 14_42_14.jpg,吊经,1376,1,1422,481
J01_2018.06.27 15_12_04.jpg,吊经,1294,2,1342,984
J01_2018.06.27 15_13_39.jpg,吊经,1278,504,1386,740
J01_2018.06.28 13_14_56.jpg,吊经,1156,6,1232,1898
J01_2018.06.28 13_16_50.jpg,吊经,1294,4,1380,1448
J01_2018.06.28 13_20_55.jpg,吊经,184,425,255,1240
J01_2018.06.28 13_22_25.jpg,吊经,934,12,1016,1908
J01_2018.06.28 13_52_43.jpg,吊经,2178,406,2260,852
J01_2018.06.28 13_56_45.jpg,吊经,1217,310,1271,706
J01_2018.06.28 13_57_37.jpg,吊经,1088,954,1161,1878
J01_2018.06.28 13_59_46.jpg,吊经,416,4,518,1910
J01_2018.06.28 14_23_10.jpg,吊经,1717,1,1769,677
J01_2018.06.28 14_51_12.jpg,吊经,1268,803,1332,1318
J01_2018.06.28 15_19_28.jpg,吊经,1827,5,1893,840
J01_2018.06.28 15_23_27.jpg,吊经,2008,2,2070,1730
J01_2018.06.28 15_38_48.jpg,吊经,2044,4,2110,1250
J01_2018.06.17 10_14_51.jpg,回边,522,430,632,1054
J01_2018.06.19 13_58_45.jpg,回边,340,284,467,1381
J01_2018.06.20 09_01_57.jpg,回边,223,117,342,1856
J01_2018.06.25 08_44_28.jpg,回边,2143,22,2258,1709
J01_2018.06.25 10_18_54.jpg,回边,2278,689,2503,1701
J01_2018.06.26 10_13_01.jpg,回边,291,44,376,821
J01_2018.06.19 13_51_56.jpg,夹码,317,71,2217,189
J01_2018.06.13 13_50_00.jpg,嵌结,1701,1084,1885,1168
J01_2018.06.16 09_25_46.jpg,嵌结,784,423,871,541
J01_2018.06.16 10_47_41.jpg,嵌结,889,746,954,872
J01_2018.06.17 15_54_56.jpg,嵌结,1119,895,1279,961
J01_2018.06.19 14_09_35.jpg,嵌结,1434,858,1508,924
J01_2018.06.22 15_10_55.jpg,嵌结,1183,584,1243,670
J01_2018.06.22 15_23_41.jpg,嵌结,2293,953,2477,1011
J01_2018.06.28 14_00_18.jpg,嵌结,1770,384,1840,458
J01_2018.06.16 09_49_21.jpg,弓纱,1700,1019,2200,1077
J01_2018.06.17 13_34_46.jpg,弓纱,2095,26,2181,1354
J01_2018.06.17 15_13_34.jpg,弓纱,505,36,581,1882
J01_2018.06.17 15_38_41.jpg,弓纱,1245,7,1298,516
J01_2018.06.22 10_26_58.jpg,弓纱,1525,4,1600,1583
J01_2018.06.22 10_27_15.jpg,弓纱,1577,79,1701,1710
J01_2018.06.25 08_58_29.jpg,弓纱,1932,28,2018,1902
J01_2018.06.27 14_16_56.jpg,弓纱,1338,8,1378,550
J01_2018.06.22 14_07_50.jpg,愣断,1112,336,1180,502
J01_2018.06.25 13_48_32.jpg,愣断,1582,818,1618,1022
J01_2018.06.19 14_26_40.jpg,扎梳,31,619,2533,1131
J01_2018.06.20 15_06_52.jpg,扎梳,549,17,740,1893
J01_2018.06.20 15_07_22.jpg,扎梳,886,2,1098,1527
J01_2018.06.13 13_58_14.jpg,扎洞,1342,1210,1481,1349
J01_2018.06.13 14_20_28.jpg,扎洞,2235,1132,2300,1446
J01_2018.06.17 09_06_30.jpg,扎洞,377,32,503,1898
J01_2018.06.17 13_37_23.jpg,扎洞,805,204,2055,1204
J01_2018.06.19 08_41_39.jpg,扎洞,537,98,660,225
J01_2018.06.19 08_56_18.jpg,扎洞,1577,39,1664,971
J01_2018.06.19 09_01_28.jpg,扎洞,972,651,1087,744
J01_2018.06.19 09_02_03.jpg,扎洞,1232,736,1298,804
J01_2018.06.19 09_06_26.jpg,扎洞,272,785,372,1168
J01_2018.06.19 09_07_19.jpg,扎洞,351,826,450,1040
J01_2018.06.19 09_33_51.jpg,扎洞,1596,691,2528,1214
J01_2018.06.19 09_34_11.jpg,扎洞,1647,672,1760,790
J01_2018.06.19 09_46_57.jpg,扎洞,2072,276,2198,842
J01_2018.06.19 09_47_41.jpg,扎洞,1848,284,1945,910
J01_2018.06.19 14_04_30.jpg,扎洞,1081,191,1581,716
J01_2018.06.19 14_06_36.jpg,扎洞,878,21,1086,1796
J01_2018.06.19 14_07_09.jpg,扎洞,1236,768,1352,1026
J01_2018.06.20 08_56_04.jpg,扎洞,1418,139,1579,1129
J01_2018.06.20 08_56_50.jpg,扎洞,1671,39,1805,261
J01_2018.06.20 08_58_20.jpg,扎洞,1308,73,1532,1863
J01_2018.06.20 08_58_40.jpg,扎洞,1447,266,1642,1839
J01_2018.06.20 08_59_01.jpg,扎洞,1627,71,1766,1822
J01_2018.06.20 15_02_55.jpg,扎洞,278,105,427,1888
J01_2018.06.20 15_03_19.jpg,扎洞,122,13,247,800
J01_2018.06.20 15_10_18.jpg,扎洞,1366,24,1535,1873
J01_2018.06.22 09_39_34.jpg,扎洞,1323,640,1415,1146
J01_2018.06.22 10_14_23.jpg,扎洞,1997,460,2307,1002
J01_2018.06.22 14_24_00.jpg,扎洞,1347,196,1435,318
J01_2018.06.22 14_25_59.jpg,扎洞,2287,10,2471,1786
J01_2018.06.22 14_57_28.jpg,扎洞,1783,18,1891,1888
J01_2018.06.22 14_58_08.jpg,扎洞,2089,60,2343,1872
J01_2018.06.22 14_58_44.jpg,扎洞,207,22,363,1850
J01_2018.06.22 15_12_15.jpg,扎洞,65,680,275,898
J01_2018.06.22 15_17_59.jpg,扎洞,1223,6,1771,1842
J01_2018.06.23 08_58_06.jpg,扎洞,104,8,258,1904
J01_2018.06.23 09_33_05.jpg,扎洞,258,406,375,1611
J01_2018.06.23 10_46_42.jpg,扎洞,738,51,868,1906
J01_2018.06.23 10_46_52.jpg,扎洞,790,21,995,1899
J01_2018.06.25 13_32_20.jpg,扎洞,838,84,1171,869
J01_2018.06.26 09_14_41.jpg,扎洞,922,94,1024,208
J01_2018.06.26 14_07_03.jpg,扎洞,50,1434,202,1642
J01_2018.06.27 09_14_49.jpg,扎洞,2024,502,2096,1402
J01_2018.06.27 13_30_56.jpg,扎洞,1203,464,1451,904
J01_2018.06.28 13_29_44.jpg,扎洞,498,88,586,408
J01_2018.06.28 13_30_06.jpg,扎洞,863,1,1081,1904
J01_2018.06.28 13_43_53.jpg,扎洞,1,39,772,212
J01_2018.06.28 14_54_13.jpg,扎洞,636,332,702,412
J01_2018.06.28 15_44_32.jpg,扎洞,1806,1,1983,749
J01_2018.06.17 15_30_49.jpg,扎纱,1853,132,1993,1592
J01_2018.06.16 10_31_49.jpg,擦伤,1474,966,1576,1088
J01_2018.06.17 14_15_49.jpg,擦伤,1009,140,1541,422
J01_2018.06.17 14_09_15.jpg,擦毛,894,786,1363,1242
J01_2018.06.17 14_09_41.jpg,擦毛,946,344,1629,1306
J01_2018.06.13 13_17_04.jpg,擦洞,1337,841,1444,968
J01_2018.06.13 13_33_53.jpg,擦洞,1788,410,1862,485
J01_2018.06.16 08_49_07.jpg,擦洞,1254,888,1327,956
J01_2018.06.16 09_16_05.jpg,擦洞,881,662,951,738
J01_2018.06.16 09_40_54.jpg,擦洞,1717,1341,1794,1413
J01_2018.06.16 09_45_50.jpg,擦洞,1186,522,1296,627
J01_2018.06.16 10_11_28.jpg,擦洞,1261,507,1363,580
J01_2018.06.16 10_29_42.jpg,擦洞,419,1000,499,1087
J01_2018.06.17 13_22_33.jpg,擦洞,467,704,607,816
J01_2018.06.17 13_28_58.jpg,擦洞,445,392,533,474
J01_2018.06.17 13_33_05.jpg,擦洞,1109,262,1677,1022
J01_2018.06.17 15_40_14.jpg,擦洞,701,777,934,955
J01_2018.06.19 09_31_46.jpg,擦洞,433,164,827,1592
J01_2018.06.19 09_36_31.jpg,擦洞,823,284,985,1788
J01_2018.06.19 09_37_11.jpg,擦洞,1197,746,1317,860
J01_2018.06.19 09_37_35.jpg,擦洞,567,720,665,826
J01_2018.06.19 10_03_48.jpg,擦洞,1791,1090,1921,1794
J01_2018.06.19 10_04_06.jpg,擦洞,749,378,1027,1744
J01_2018.06.19 10_05_24.jpg,擦洞,637,794,733,876
J01_2018.06.19 10_09_11.jpg,擦洞,1349,616,1419,730
J01_2018.06.19 10_10_24.jpg,擦洞,1259,40,1409,198
J01_2018.06.19 13_26_43.jpg,擦洞,1473,777,1539,854
J01_2018.06.19 14_00_57.jpg,擦洞,1181,734,1321,866
J01_2018.06.19 14_02_37.jpg,擦洞,1061,526,1233,718
J01_2018.06.19 14_03_40.jpg,擦洞,1529,202,1681,360
J01_2018.06.19 14_14_43.jpg,擦洞,1237,354,1565,544
J01_2018.06.19 14_27_23.jpg,擦洞,1411,116,1529,234
J01_2018.06.19 14_55_27.jpg,擦洞,2151,410,2237,566
J01_2018.06.19 15_45_28.jpg,擦洞,905,194,1295,764
J01_2018.06.20 08_47_50.jpg,擦洞,998,837,1061,924
J01_2018.06.20 08_59_55.jpg,擦洞,2096,660,2326,913
J01_2018.06.20 09_04_28.jpg,擦洞,1405,700,1535,834
J01_2018.06.20 09_04_50.jpg,擦洞,1474,395,1598,547
J01_2018.06.20 15_13_00.jpg,擦洞,1740,139,1888,275
J01_2018.06.20 15_31_36.jpg,擦洞,1779,980,1962,1068
J01_2018.06.22 08_42_05.jpg,擦洞,621,22,877,1660
J01_2018.06.22 08_42_20.jpg,擦洞,1113,138,1217,240
J01_2018.06.22 09_33_06.jpg,擦洞,1389,598,1487,678
J01_2018.06.22 09_37_59.jpg,擦洞,1869,190,1999,354
J01_2018.06.22 09_43_49.jpg,擦洞,1235,622,1365,730
J01_2018.06.22 09_44_49.jpg,擦洞,577,468,699,558
J01_2018.06.22 15_08_12.jpg,擦洞,283,50,2087,664
J01_2018.06.22 15_09_38.jpg,擦洞,213,552,605,892
J01_2018.06.22 15_14_59.jpg,擦洞,1105,204,1191,298
J01_2018.06.22 16_10_16.jpg,擦洞,1135,150,1305,308
J01_2018.06.23 09_46_29.jpg,擦洞,436,1219,591,1366
J01_2018.06.23 09_49_18.jpg,擦洞,1214,1320,1466,1512
J01_2018.06.23 10_06_12.jpg,擦洞,326,1571,458,1696
J01_2018.06.23 10_13_19.jpg,擦洞,981,666,1027,724
J01_2018.06.23 10_13_58.jpg,擦洞,1219,819,1312,960
J01_2018.06.23 10_39_26.jpg,擦洞,1208,1011,1331,1131
J01_2018.06.23 10_39_39.jpg,擦洞,1376,384,1486,501
J01_2018.06.23 10_43_23.jpg,擦洞,302,558,373,645
J01_2018.06.23 13_42_08.jpg,擦洞,652,171,707,233
J01_2018.06.23 13_43_35.jpg,擦洞,1563,1051,1668,1154
J01_2018.06.23 14_09_20.jpg,擦洞,1238,1074,1366,1216
J01_2018.06.25 09_56_17.jpg,擦洞,2013,1206,2088,1301
J01_2018.06.25 09_56_33.jpg,擦洞,2098,576,2175,664
J01_2018.06.25 10_10_21.jpg,擦洞,362,320,472,512
J01_2018.06.25 13_12_51.jpg,擦洞,1335,149,1475,304
J01_2018.06.25 13_16_27.jpg,擦洞,1125,456,1255,579
J01_2018.06.25 13_19_33.jpg,擦洞,725,254,935,411
J01_2018.06.25 13_23_00.jpg,擦洞,969,1355,1072,1459
J01_2018.06.25 13_35_24.jpg,擦洞,1527,1233,1577,1282
J01_2018.06.25 13_37_20.jpg,擦洞,1275,928,1329,990
J01_2018.06.25 13_40_29.jpg,擦洞,1322,586,1394,670
J01_2018.06.25 13_47_09.jpg,擦洞,2272,1149,2321,1200
J01_2018.06.25 14_10_16.jpg,擦洞,408,79,980,424
J01_2018.06.25 14_24_45.jpg,擦洞,1977,1238,2090,1434
J01_2018.06.25 14_27_06.jpg,擦洞,2150,1019,2258,1174
J01_2018.06.25 14_28_01.jpg,擦洞,2203,1264,2300,1406
J01_2018.06.25 14_36_14.jpg,擦洞,692,990,932,1056
J01_2018.06.25 14_44_10.jpg,擦洞,1792,1428,1849,1488
J01_2018.06.25 14_45_50.jpg,擦洞,1124,634,1188,692
J01_2018.06.25 14_47_30.jpg,擦洞,1258,464,1560,954
J01_2018.06.25 14_47_42.jpg,擦洞,1065,941,1288,1269
J01_2018.06.25 14_55_02.jpg,擦洞,1380,104,1605,356
J01_2018.06.25 15_36_37.jpg,擦洞,2169,185,2232,245
J01_2018.06.26 09_59_12.jpg,擦洞,453,1016,563,1121
J01_2018.06.26 10_01_09.jpg,擦洞,2358,262,2450,430
J01_2018.06.26 10_08_37.jpg,擦洞,2376,1010,2454,1090
J01_2018.06.26 13_26_40.jpg,擦洞,918,980,962,1034
J01_2018.06.26 13_38_26.jpg,擦洞,1090,156,1140,208
J01_2018.06.26 13_41_06.jpg,擦洞,1161,834,1341,1081
J01_2018.06.26 14_17_04.jpg,擦洞,1716,1497,1754,1536
J01_2018.06.26 14_23_51.jpg,擦洞,972,1418,1152,1562
J01_2018.06.26 15_19_47.jpg,擦洞,1482,1200,1552,1274
J01_2018.06.26 15_32_15.jpg,擦洞,456,10,570,1590
J01_2018.06.26 15_45_32.jpg,擦洞,1292,1130,1394,1248
J01_2018.06.26 15_50_18.jpg,擦洞,1124,1480,1210,1570
J01_2018.06.26 15_59_13.jpg,擦洞,1196,58,1332,202
J01_2018.06.26 15_59_31.jpg,擦洞,1386,516,1456,580
J01_2018.06.27 08_54_36.jpg,擦洞,1551,7,1746,449
J01_2018.06.27 09_00_27.jpg,擦洞,1386,840,1430,892
J01_2018.06.27 13_10_55.jpg,擦洞,502,1190,568,1252
J01_2018.06.27 13_13_19.jpg,擦洞,2134,580,2210,662
J01_2018.06.27 13_27_05.jpg,擦洞,1511,54,1656,840
J01_2018.06.27 13_36_16.jpg,擦洞,1584,52,1656,152
J01_2018.06.27 13_41_04.jpg,擦洞,536,1158,668,1252
J01_2018.06.27 13_41_40.jpg,擦洞,1932,580,1976,644
J01_2018.06.27 13_43_52.jpg,擦洞,1386,1000,1450,1078
J01_2018.06.27 13_45_32.jpg,擦洞,2276,840,2342,970
J01_2018.06.27 13_47_56.jpg,擦洞,654,140,748,264
J01_2018.06.27 14_06_07.jpg,擦洞,280,92,368,176
J01_2018.06.27 14_32_10.jpg,擦洞,1882,872,1952,938
J01_2018.06.27 14_54_59.jpg,擦洞,980,116,1144,276
J01_2018.06.27 14_56_26.jpg,擦洞,773,144,938,724
J01_2018.06.28 13_24_41.jpg,擦洞,261,44,358,154
J01_2018.06.28 13_26_33.jpg,擦洞,41,904,113,1104
J01_2018.06.28 13_27_53.jpg,擦洞,36,890,94,1004
J01_2018.06.28 13_33_09.jpg,擦洞,238,356,583,764
J01_2018.06.28 13_46_22.jpg,擦洞,608,1172,662,1290
J01_2018.06.28 13_46_52.jpg,擦洞,782,128,1166,302
J01_2018.06.28 14_15_16.jpg,擦洞,556,736,694,806
J01_2018.06.28 14_26_44.jpg,擦洞,2260,690,2352,764
J01_2018.06.28 14_28_32.jpg,擦洞,1284,66,1418,150
J01_2018.06.28 14_37_45.jpg,擦洞,1436,218,1854,376
J01_2018.06.28 15_02_16.jpg,擦洞,1414,386,1463,437
J01_2018.06.28 15_09_24.jpg,擦洞,343,186,501,694
J01_2018.06.28 15_10_04.jpg,擦洞,749,962,807,1043
J01_2018.06.28 15_28_26.jpg,擦洞,1258,834,1384,938
J01_2018.06.28 15_28_59.jpg,擦洞,394,689,496,779
J01_2018.06.28 15_48_53.jpg,擦洞,1442,752,1508,834
J01_2018.06.19 13_41_55.jpg,明嵌线,1004,407,1050,1896
J01_2018.06.17 10_09_02.jpg,楞断,827,666,1043,758
J01_2018.06.19 15_07_35.jpg,楞断,635,329,1156,381
J01_2018.06.20 14_23_36.jpg,楞断,1229,806,1331,877
J01_2018.06.22 15_21_27.jpg,楞断,1347,948,1493,1022
J01_2018.06.16 08_47_24.jpg,毛斑,1194,1016,1360,1116
J01_2018.06.16 09_20_23.jpg,毛斑,427,900,678,1083
J01_2018.06.17 09_12_53.jpg,毛斑,1045,894,1249,1068
J01_2018.06.17 09_13_36.jpg,毛斑,1303,1074,1459,1174
J01_2018.06.17 09_18_21.jpg,毛斑,1191,670,1289,772
J01_2018.06.17 09_59_44.jpg,毛斑,1371,390,1489,542
J01_2018.06.17 13_19_56.jpg,毛斑,867,578,969,686
J01_2018.06.17 14_39_12.jpg,毛斑,1083,622,1181,690
J01_2018.06.17 14_49_55.jpg,毛斑,585,334,681,444
J01_2018.06.17 15_07_12.jpg,毛斑,1267,578,1417,768
J01_2018.06.17 15_18_58.jpg,毛斑,714,1381,831,1526
J01_2018.06.17 15_37_43.jpg,毛斑,601,752,759,928
J01_2018.06.19 14_11_57.jpg,毛斑,235,613,347,687
J01_2018.06.19 14_28_57.jpg,毛斑,1664,199,1785,310
J01_2018.06.19 14_58_10.jpg,毛斑,1269,483,1413,595
J01_2018.06.19 14_59_03.jpg,毛斑,1951,693,2108,806
J01_2018.06.19 15_22_52.jpg,毛斑,1080,659,1363,873
J01_2018.06.20 14_29_06.jpg,毛斑,1239,552,1363,671
J01_2018.06.20 14_31_49.jpg,毛斑,1827,795,1982,911
J01_2018.06.20 15_16_45.jpg,毛斑,1703,5,1808,107
J01_2018.06.20 15_24_26.jpg,毛斑,1155,228,1292,341
J01_2018.06.20 15_47_38.jpg,毛斑,911,602,979,685
J01_2018.06.20 15_48_10.jpg,毛斑,1464,726,1545,991
J01_2018.06.22 08_44_40.jpg,毛斑,941,192,1417,548
J01_2018.06.22 09_48_25.jpg,毛斑,858,631,992,795
J01_2018.06.23 10_11_43.jpg,毛斑,713,1099,823,1239
J01_2018.06.25 13_58_18.jpg,毛斑,466,876,578,966
J01_2018.06.25 15_14_04.jpg,毛斑,870,84,964,134
J01_2018.06.25 15_42_40.jpg,毛斑,1244,1279,1429,1398
J01_2018.06.26 13_28_17.jpg,毛斑,2444,1390,2520,1472
J01_2018.06.26 13_37_00.jpg,毛斑,1589,780,1700,838
J01_2018.06.26 14_50_04.jpg,毛斑,1722,410,1826,520
J01_2018.06.27 15_20_25.jpg,毛斑,332,1504,432,1594
J01_2018.06.28 13_49_03.jpg,毛斑,1994,914,2110,1036
J01_2018.06.28 15_42_09.jpg,毛斑,1340,1160,1418,1222
J01_2018.06.13 14_08_09.jpg,毛洞,1481,793,1627,928
J01_2018.06.16 08_54_07.jpg,毛洞,1507,946,1812,1580
J01_2018.06.16 10_20_43.jpg,毛洞,1515,634,1659,841
J01_2018.06.16 10_21_06.jpg,毛洞,1641,395,1795,683
J01_2018.06.17 09_34_10.jpg,毛洞,1327,606,1527,914
J01_2018.06.17 09_54_07.jpg,毛洞,1477,58,1881,652
